Word (he),Word (en),Root,Part of speech,Binyan,Meaning
לְהַאֲרִיךְ,leha'arich,"['א', 'ר', 'ך']",Verb,hif'il,"to extend, to prolong"
לְהִתְאָרֵךְ,lehit'arech,"['א', 'ר', 'ך']",Verb,hitpa'el,"to be extended, to last"
לְהִתְאָרֵס,lehit'ares,"['א', 'ר', 'ס']",Verb,hitpa'el,"to become engaged, betrothed (marriage)"
לְאָרֵס,le'ares,"['א', 'ר', 'ס']",Verb,pi'el,"to betroth, to make engaged"
לְאָרֵעַ,le'area,"['א', 'ר', 'ע']",Verb,pi'el,to happen
לְהַאֲרִיק,leha'arik,"['א', 'ר', 'ק']",Verb,hif'il,"to ground, to earth"
לְאָרֵר,le'arer,"['א', 'ר', 'ר']",Verb,pi'el,to curse (archaic)
לָאוֹר,la'or,"['א', 'ר', 'ר']",Verb,pa'al,to curse (biblical)
לְהַאֲשִׁים,leha'ashim,"['א', 'ש', 'ם']",Verb,hif'il,"to blame, to accuse"
לֶאְשׁוֹם,le'eshom,"['א', 'ש', 'ם']",Verb,pa'al,"to sin, to be guilty (archaic)"
לְהֵיאָשֵׁם,lehe'ashem,"['א', 'ש', 'ם']",Verb,nif'al,"to be accused, held liable (ב-)"
לְאַשְׁפֵּז,le'ashpez,"['א', 'ש', 'פ', 'ז']",Verb,pi'el,to hospitalise
לְהִתְאַשְׁפֵּז,lehit'ashpez,"['א', 'ש', 'פ', 'ז']",Verb,hitpa'el,"go to hospital, check into hospital"
לְאַשֵּׁר,le'asher,"['א', 'ש', 'ר']",Verb,pi'el,"to approve, to confirm, to authorise"
לְהִתְאוֹשֵׁשׁ,lehit'oshesh,"['א', 'ש', 'ש']",Verb,hitpa'el,"to recover, to regain strength"
לְאוֹשֵׁשׁ,le'oshesh,"['א', 'ש', 'ש']",Verb,pi'el,"to encourage, to help recover"
לְאַשֵּׁשׁ,le'ashesh,"['א', 'ש', 'ש']",Verb,pi'el,to strengthen; to establish
לְהִתְאוֹשֵׁשׁ,lehit'oshesh,"['א', 'ש', 'ש']",Verb,hitpa'el,"to get over, to come around"
לְאַתְגֵּר,le'atger,"['א', 'ת', 'ג', 'ר']",Verb,pi'el,to challenge
לְאַתְחֵל,le'atchel,"['א', 'ת', 'ח', 'ל']",Verb,pi'el,"to reboot, to boot (a computer)"
לְאַתֵּר,le'ater,"['א', 'ת', 'ר']",Verb,pi'el,"to locate, to localise"
לְבַאֵס,leva'es,"['ב', 'א', 'ס']",Verb,pi'el,"to upset, to depress (slang)"
לְהִתְבָּאֵס,lehitba'es,"['ב', 'א', 'ס']",Verb,hitpa'el,"to be upset, depressed (slang)"
לְבָאֵר,leva'er,"['ב', 'א', 'ר']",Verb,pi'el,"to explain, to clarify"
לְהִתְבָּאֵר,lehitba'er,"['ב', 'א', 'ר']",Verb,hitpa'el,"to become clear, to be clarified"
לִבְאוֹשׁ,liv'osh,"['ב', 'א', 'ש']",Verb,pa'al,"to rot, to putrefy (lit.)"
לְהִיבָּגֵד,lehibaged,"['ב', 'ג', 'ד']",Verb,nif'al,"to be betrayed, cheated upon"
לִבְגּוֹד,livgod,"['ב', 'ג', 'ד']",Verb,pa'al,"to betray, to cheat on (ב-)"
לְהִתְבַּגֵּר,lehitbager,"['ב', 'ג', 'ר']",Verb,hitpa'el,"to grow up, to come of age"
לִבְגּוֹר,livgor,"['ב', 'ג', 'ר']",Verb,pa'al,"to mature, to achieve adulthood"
לִבְדּוֹא,livdo,"['ב', 'ד', 'א']",Verb,pa'al,"to fabricate, to devise"
לְבוֹדֵד,levoded,"['ב', 'ד', 'ד']",Verb,pi'el,"to isolate, to segregate"
לְהִתְבּוֹדֵד,lehitboded,"['ב', 'ד', 'ד']",Verb,hitpa'el,"to retire, to be in recluse"
לְבַדֵּד,levaded,"['ב', 'ד', 'ד']",Verb,pi'el,"to insulate, to isolate (from electricity)"
לְבַדֵּחַ,levadeach,"['ב', 'ד', 'ח']",Verb,pi'el,to amuse
לְהִתְבַּדֵּחַ,lehitbadeach,"['ב', 'ד', 'ח']",Verb,hitpa'el,"to joke, to make merry"
לִבְדּוֹת,livdot,"['ב', 'ד', 'ה']",Verb,pa'al,"to make up, to fabricate"
לְהִיבָּדוֹת,lehibadot,"['ב', 'ד', 'ה']",Verb,nif'al,"to be made up, fabricated"
לְבַדּוֹת,levadot,"['ב', 'ד', 'ה']",Verb,pi'el,"to make up, to fabricate (rare)"
לְהִיבָּדֵל,lehibadel,"['ב', 'ד', 'ל']",Verb,nif'al,"to be separated, differentiated"
לְהַבְדִּיל,lehavdil,"['ב', 'ד', 'ל']",Verb,hif'il,"to separate, to distinguish"
לְבַדֵּל,levadel,"['ב', 'ד', 'ל']",Verb,pi'el,"to isolate, to separate"
לְהִתְבַּדֵּל,lehitbadel,"['ב', 'ד', 'ל']",Verb,hitpa'el,"to differentiate, to be differentiated; to be aloof"
לִבְדּוֹק,livdok,"['ב', 'ד', 'ק']",Verb,pa'al,"to check, to examine"
לְהִיבָּדֵק,lehibadek,"['ב', 'ד', 'ק']",Verb,nif'al,"to be tested, examined"
לְהִתְבַּדֵּר,lehitbader,"['ב', 'ד', 'ר']",Verb,hitpa'el,to entertain oneself
לְבַדֵּר,levader,"['ב', 'ד', 'ר']",Verb,pi'el,"to entertain, to amuse"
